Version,MsgSize,Threads,Throughput_Gbps,Latency_us,Cycles,L1_Misses,LLC_Misses,Context_Switches
A1,1024,1,4.742413,1.664013,22845421347,130648769,3802,26
A1,1024,2,9.274016,1.716724,45402901133,239780846,4033,61
A1,1024,4,17.902476,1.782116,88684656178,475290438,7166,95
A1,1024,8,27.552509,2.328407,177478916566,1162376846,13030,524
A1,32768,1,46.895150,5.494517,23059021986,1303244642,4666,23
A1,32768,2,93.125870,5.518251,45417265834,2611608690,8910,110
A1,32768,4,176.669327,5.819878,88460093237,4941156696,13727,2294
A1,32768,8,271.181886,7.636283,172819756314,8525787080,786007,26571
A1,131072,1,75.597506,13.645851,23084836763,1773110084,8256,24
A1,131072,2,143.851415,14.257850,45760134517,3415496836,14633,156
A1,131072,4,277.507736,14.768408,88302169254,6523874478,24908,14540
A1,131072,8,349.586011,23.544962,157658284745,9618214280,3262204,110879
A1,1048576,1,67.511517,121.583717,22705433673,878097851,116554,26
A1,1048576,2,116.729158,126.769135,45120228465,1491859125,87902,206
A1,1048576,4,228.854648,135.081701,86758419216,2933978249,3471505,156449
A1,1048576,8,112.734503,485.858223,159217445102,2117683871,239367184,862999
A2,1024,1,4.268309,1.869710,23151532421,112811819,3206,33
A2,1024,2,8.280673,1.923528,45159211815,211981464,3945,41
A2,1024,4,15.893291,2.008186,88539669212,429993186,5590,108
A2,1024,8,23.892884,2.701940,167199220251,1088658546,16426,915
A2,32768,1,51.565350,4.986840,22962947757,874919924,5926,42
A2,32768,2,99.820503,5.148212,45301668905,1697821308,7826,185
A2,32768,4,189.874412,5.417695,88430059931,3224465774,12724,2509
A2,32768,8,283.673992,7.291491,163267028810,5571337129,547804,24765
A2,131072,1,90.566977,11.382773,23011746935,1235234250,11702,27
A2,131072,2,174.035095,11.734932,45385130069,2414368259,43796,256
A2,131072,4,330.600284,12.409419,88387052943,4509926083,50263,11814
A2,131072,8,213.534114,38.361447,123284377029,3388238824,4457116,115723
A2,1048576,1,100.269031,82.158725,23098710071,1058539289,18735,19
A2,1048576,2,171.773526,87.597963,45391993974,1873135218,67928,1083
A2,1048576,4,299.115951,103.576591,83881959668,3219476389,611622,137665
A2,1048576,8,91.887134,606.169809,117722371140,1087640569,22981604,873151
A3,1024,1,2.522402,2.861947,23109219086,121572792,20369,333
A3,1024,2,4.895469,2.939643,45202984368,251524964,60625,427
A3,1024,4,9.259585,3.112802,87822654749,453730948,160453,840
A3,1024,8,13.292768,4.348695,162783552465,1170937646,143242,2293
A3,32768,1,36.693344,6.563802,22991948404,676072020,4295,48
A3,32768,2,70.013682,6.890608,45589128521,1295935323,5672,53
A3,32768,4,133.287798,7.238484,87854413271,2452915549,12514,3982
A3,32768,8,198.409821,9.656879,160064838003,4102674858,106889,26645
A3,131072,1,64.999339,15.498358,23056489350,937724222,10560,60
A3,131072,2,124.847863,15.928527,45183218204,1804880429,12976,155
A3,131072,4,235.090529,17.002235,87696132496,3397733583,75892,16683
A3,131072,8,131.207476,61.439825,49473740014,1435198397,792812,161835
A3,1048576,1,79.055920,103.643044,23045291077,822638088,16295,20
A3,1048576,2,138.865017,106.826026,45223994897,1491355038,47366,363
A3,1048576,4,255.070726,119.919621,82531968891,2684753644,163389,163255
A3,1048576,8,57.272382,967.207135,27865107563,98037148,425328,838015
